#group,false,false,false,false,false,false,false,false,false,false,false,false
#datatype,double,double,double,string,double,double,double,double,string,double,double,dateTime:RFC3339
#default,,,,,,,,,,,,
,co2,dust,humidity,location,no2,o3,pm10,pm25,sensor,so2,temperature,time
,,,,Dhulikhel,,,59.5,39.2,raspberry,,,2025-03-07T15:14:05Z
,,,,Dhulikhel,,,59.5,39.1,raspberry,,,2025-03-07T15:18:53Z
,,,,Dhulikhel,,,58.5,38.7,raspberry,,,2025-03-07T15:24:06Z
,,,,Dhulikhel,,,58.5,38.6,raspberry,,,2025-03-07T15:28:54Z
,,,,Dhulikhel,,,59,38.9,raspberry,,,2025-03-07T15:34:08Z
,,,,Dhulikhel,,,59.2,38.7,raspberry,,,2025-03-07T15:38:55Z
,,,,Dhulikhel,,,59.4,38.7,raspberry,,,2025-03-07T15:44:09Z
,,,,Dhulikhel,,,59,38.4,raspberry,,,2025-03-07T15:48:56Z
,,,,Dhulikhel,,,59.9,38.4,raspberry,,,2025-03-07T15:54:11Z
,,,,Dhulikhel,,,59.7,38.3,raspberry,,,2025-03-07T15:58:57Z
,,,,Dhulikhel,,,59.8,38.5,raspberry,,,2025-03-07T16:04:12Z
,,,,Dhulikhel,,,59.5,38.5,raspberry,,,2025-03-07T16:08:58Z
,,,,Dhulikhel,,,59.6,38.6,raspberry,,,2025-03-07T16:14:15Z
,,,,Dhulikhel,,,59.1,38.5,raspberry,,,2025-03-07T16:19:00Z
,,,,Dhulikhel,,,59.4,38.4,raspberry,,,2025-03-07T16:24:16Z
,,,,Dhulikhel,,,58.1,38.4,raspberry,,,2025-03-07T16:29:09Z
,,,,Dhulikhel,,,57.9,38.5,raspberry,,,2025-03-07T16:34:17Z
,,,,Dhulikhel,,,57.5,38.3,raspberry,,,2025-03-07T16:39:11Z
,,,,Dhulikhel,,,57.1,38.7,raspberry,,,2025-03-07T16:44:19Z
,,,,Dhulikhel,,,59,38.8,raspberry,,,2025-03-07T16:49:12Z
,,,,Dhulikhel,,,58.4,38.8,raspberry,,,2025-03-07T16:54:20Z
,,,,Dhulikhel,,,58.6,38.9,raspberry,,,2025-03-07T16:59:13Z
,,,,Dhulikhel,,,58.8,38.8,raspberry,,,2025-03-07T17:04:21Z
,,,,Dhulikhel,,,110.7,54.2,raspberry,,,2025-03-07T17:06:59Z
,,,,Dhulikhel,,,68.1,30.9,raspberry,,,2025-03-20T15:52:57Z
,,,,Dhulikhel,,,48.8,29.2,raspberry,,,2025-03-20T15:54:38Z
,,,,Dhulikhel,,,42.8,29.6,raspberry,,,2025-03-20T15:59:34Z
,,,,Dhulikhel,,,25.7,15.2,raspberry,,,2025-03-20T16:01:23Z
,,,,Dhulikhel,,,17.7,12.4,raspberry,,,2025-03-23T10:13:26Z
,,,,Dhulikhel,,,17.8,12.5,raspberry,,,2025-03-23T10:23:28Z
,,,,Dhulikhel,,,31.7,14,raspberry,,,2025-03-23T10:25:07Z
,,,,Dhulikhel,,,47.4,32.1,raspberry,,,2025-03-25T12:31:13Z
,,,,Dhulikhel,,,47.2,32.1,raspberry,,,2025-03-25T12:39:53Z
,,,,Dhulikhel,,,46.9,32.1,raspberry,,,2025-03-25T12:41:14Z
,,,,Dhulikhel,,,46.9,32,raspberry,,,2025-03-25T12:49:54Z
,,,,Dhulikhel,,,46.9,32.1,raspberry,,,2025-03-25T12:51:16Z
,,,,Dhulikhel,,,47.7,32.2,raspberry,,,2025-03-25T12:59:55Z
,,,,Dhulikhel,,,63.2,39.2,raspberry,,,2025-03-25T13:01:04Z
,,,,Dhulikhel,,,64.3,47.4,raspberry,,,2025-03-25T13:02:50Z
,,,,Dhulikhel,,,88,49.7,raspberry,,,2025-03-19T12:59:54Z
,,,,Dhulikhel,,,88.5,47.1,raspberry,,,2025-03-19T13:02:39Z
,,,,Dhulikhel,,,227.3,86.8,raspberry,,,2025-03-19T13:05:06Z
,,,,Dhulikhel,,,77.5,41.9,raspberry,,,2025-03-19T13:06:57Z
,,,,Dhulikhel,,,79.2,42.7,raspberry,,,2025-03-19T13:12:40Z
,,,,Dhulikhel,,,80.3,42.9,raspberry,,,2025-03-19T13:16:58Z
,,,,Dhulikhel,,,81.4,43,raspberry,,,2025-03-19T13:22:41Z
,,,,Dhulikhel,,,83.8,43.5,raspberry,,,2025-03-19T13:26:59Z
,,,,Dhulikhel,,,84.2,43.8,raspberry,,,2025-03-19T13:32:42Z
,,,,Dhulikhel,,,84.9,44.3,raspberry,,,2025-03-19T13:37:00Z
,,,,Dhulikhel,,,84.9,44.4,raspberry,,,2025-03-19T13:42:44Z
,,,,Dhulikhel,,,86,44.8,raspberry,,,2025-03-19T13:47:01Z
,,,,Dhulikhel,,,86.8,45.1,raspberry,,,2025-03-19T13:52:45Z
,,,,Dhulikhel,,,86.9,45.3,raspberry,,,2025-03-19T13:57:02Z
,,,,Dhulikhel,,,88.8,45.8,raspberry,,,2025-03-19T14:02:46Z
,,,,Dhulikhel,,,55.7,34.9,raspberry,,,2025-03-06T13:23:38Z
,,,,Dhulikhel,,,54.9,34.8,raspberry,,,2025-03-06T13:24:24Z
,,,,Dhulikhel,,,55,35,raspberry,,,2025-03-06T13:33:39Z
,,,,Dhulikhel,,,55.9,35.1,raspberry,,,2025-03-06T13:34:25Z
,,,,Dhulikhel,,,58.5,40.6,raspberry,,,2025-03-06T13:38:02Z
,,,,Dhulikhel,,,116,74.5,raspberry,,,2025-03-27T12:33:05Z
,,,,Dhulikhel,,,117.2,75.4,raspberry,,,2025-03-27T12:33:12Z
,,,,Dhulikhel,,,127.5,78.1,raspberry,,,2025-03-27T12:33:23Z
,,,,Dhulikhel,,,129.6,83.4,raspberry,,,2025-03-27T12:34:54Z
,,,,Dhulikhel,,,196,148.3,raspberry,,,2025-03-27T12:41:05Z
,,,,Dhulikhel,,,161.5,126.3,raspberry,,,2025-03-27T12:53:30Z
,,,,Dhulikhel,,,57.5,40.9,raspberry,,,2025-03-27T12:55:27Z
,,,,Dhulikhel,,,139.9,92,raspberry,,,2025-03-29T14:37:43Z
,,,,Dhulikhel,,,119.7,93.1,raspberry,,,2025-03-29T14:38:08Z
,,,,Dhulikhel,,,114.7,90.5,raspberry,,,2025-03-29T14:46:23Z
,,,,Dhulikhel,,,114.4,89.7,raspberry,,,2025-03-29T14:47:45Z
,,,,Dhulikhel,,,118.2,88.9,raspberry,,,2025-03-29T14:54:49Z
,,,,Dhulikhel,,,118,88.8,raspberry,,,2025-03-29T14:57:46Z
,,,,Dhulikhel,,,132.3,99.4,raspberry,,,2025-03-29T15:02:50Z
,,,,Dhulikhel,,,132.9,99.6,raspberry,,,2025-03-29T15:02:57Z
,,,,Dhulikhel,,,128.7,98.9,raspberry,,,2025-03-29T15:03:03Z
,,,,Dhulikhel,,,136.5,100.9,raspberry,,,2025-03-29T15:04:42Z
,,,,Dhulikhel,,,36.5,17.6,raspberry,,,2025-03-24T10:35:49Z
,,,,Dhulikhel,,,36.2,17.5,raspberry,,,2025-03-24T10:43:19Z
,,,,Dhulikhel,,,35.3,17.3,raspberry,,,2025-03-24T10:45:51Z
,,,,Dhulikhel,,,35.5,17.5,raspberry,,,2025-03-24T10:53:20Z
,,,,Dhulikhel,,,35.3,17.6,raspberry,,,2025-03-24T10:55:52Z
,,,,Dhulikhel,,,35.3,17.6,raspberry,,,2025-03-24T11:03:21Z
,,,,Dhulikhel,,,34.8,17.6,raspberry,,,2025-03-24T11:05:53Z
,,,,Dhulikhel,,,29.3,17.4,raspberry,,,2025-03-24T11:08:49Z
,,,,Dhulikhel,,,54.5,33.9,raspberry,,,2025-03-24T11:10:25Z
,,,,Dhulikhel,,,24.4,15.3,raspberry,,,2025-03-22T04:00:30Z
,,,,Dhulikhel,,,24.8,15.3,raspberry,,,2025-03-22T04:08:52Z
,,,,Dhulikhel,,,24.1,15.3,raspberry,,,2025-03-22T04:10:31Z
,,,,Dhulikhel,,,24.2,15.3,raspberry,,,2025-03-22T04:18:53Z
,,,,Dhulikhel,,,24.3,15.4,raspberry,,,2025-03-22T04:20:32Z
,,,,Dhulikhel,,,24.4,15.5,raspberry,,,2025-03-22T04:28:54Z
,,,,Dhulikhel,,,24.4,15.6,raspberry,,,2025-03-22T04:30:33Z
,,,,Dhulikhel,,,24.5,15.7,raspberry,,,2025-03-22T04:38:55Z
,,,,Dhulikhel,,,25.2,15.8,raspberry,,,2025-03-22T04:40:34Z
,,,,Dhulikhel,,,25.2,16,raspberry,,,2025-03-22T04:48:56Z
,,,,Dhulikhel,,,24.5,15.9,raspberry,,,2025-03-22T04:50:35Z
,,,,Dhulikhel,,,24.3,16,raspberry,,,2025-03-22T04:58:57Z
,,,,Dhulikhel,,,24.1,15.9,raspberry,,,2025-03-22T05:00:36Z
,,,,Dhulikhel,,,24.3,16.1,raspberry,,,2025-03-22T05:08:58Z
,,,,Dhulikhel,,,24.8,16.1,raspberry,,,2025-03-22T05:10:37Z
,,,,Dhulikhel,,,35.1,20.6,raspberry,,,2025-03-22T05:12:49Z
,,,,Dhulikhel,,,29.2,20.6,raspberry,,,2025-03-22T10:35:14Z
