Date and Time,PM 2.5 Value,PM 10 Value,AQI Value,Location
2025-09-06 12:11:57,5.60,9.20,23,Chandragiri Satungal
2025-09-06 12:41:57,9.90,13.60,41,Chandragiri Satungal
2025-09-06 13:12:02,11.20,12.50,47,Chandragiri Satungal
2025-09-06 13:42:06,4.70,5.60,20,Chandragiri Satungal
2025-09-06 14:12:08,4.60,5.20,19,Chandragiri Satungal
2025-09-06 14:42:11,3.90,5.50,16,Chandragiri Satungal
2025-09-06 15:12:14,6.00,8.10,25,Chandragiri Satungal
2025-09-06 15:42:17,6.90,9.40,29,Chandragiri Satungal
2025-09-06 16:12:20,8.10,13.00,34,Chandragiri Satungal
2025-09-06 16:42:23,6.10,10.10,25,Chandragiri Satungal
2025-09-06 17:12:25,7.10,10.20,30,Chandragiri Satungal
2025-09-06 17:42:30,5.90,7.80,25,Chandragiri Satungal
2025-09-06 18:12:34,7.20,10.10,30,Chandragiri Satungal
2025-09-06 18:42:37,8.70,13.30,36,Chandragiri Satungal
2025-09-07 10:35:36,8.70,18.40,36,Chandragiri Satungal
2025-09-07 11:05:36,11.40,17.10,48,Chandragiri Satungal
2025-09-07 11:35:38,11.10,12.80,46,Chandragiri Satungal
2025-09-07 12:05:42,11.00,18.30,46,Chandragiri Satungal
2025-09-07 12:35:46,11.00,14.60,46,Chandragiri Satungal
2025-09-07 13:05:50,9.30,12.40,39,Chandragiri Satungal
2025-09-07 13:35:54,9.50,13.00,40,Chandragiri Satungal
2025-09-07 14:05:57,8.50,10.20,35,Chandragiri Satungal
2025-09-07 14:36:01,8.90,10.80,37,Chandragiri Satungal
2025-09-07 15:06:06,10.20,15.50,42,Chandragiri Satungal
2025-09-07 15:36:08,9.20,12.50,38,Chandragiri Satungal
2025-09-07 16:06:11,11.70,15.50,49,Chandragiri Satungal
2025-09-07 16:36:13,11.50,16.20,48,Chandragiri Satungal
2025-09-07 17:06:17,12.00,19.90,50,Chandragiri Satungal
2025-09-07 17:36:20,13.60,20.20,54,Chandragiri Satungal
2025-09-07 18:06:24,15.00,19.30,57,Chandragiri Satungal
2025-09-07 18:36:28,15.70,20.90,59,Chandragiri Satungal
2025-09-08 08:52:50,18.30,32.60,64,Chandragiri Satungal
2025-09-08 09:31:11,19.20,27.10,66,Chandragiri Satungal
2025-09-08 10:01:11,16.20,24.60,60,Chandragiri Satungal
2025-09-08 10:31:14,16.30,21.90,60,Chandragiri Satungal
2025-09-08 11:01:19,23.80,34.10,76,Chandragiri Satungal
2025-09-08 11:31:22,23.70,35.10,75,Chandragiri Satungal
2025-09-08 12:01:26,21.80,31.00,71,Chandragiri Satungal
2025-09-08 12:31:30,14.80,18.60,57,Chandragiri Satungal
2025-09-08 13:01:34,15.40,21.60,58,Chandragiri Satungal
2025-09-08 13:31:38,15.60,19.00,58,Chandragiri Satungal
2025-09-08 14:01:42,16.60,35.90,60,Chandragiri Satungal
2025-09-08 14:31:46,15.90,20.50,59,Chandragiri Satungal
2025-09-08 15:01:50,17.50,20.70,62,Chandragiri Satungal
2025-09-08 15:31:54,27.30,38.20,83,Chandragiri Satungal
2025-09-08 16:01:58,17.30,22.30,62,Chandragiri Satungal
2025-09-08 16:32:02,19.00,24.60,66,Chandragiri Satungal
2025-09-08 17:02:06,15.80,22.30,59,Chandragiri Satungal
2025-09-08 17:32:10,18.50,26.10,64,Chandragiri Satungal
2025-09-08 18:02:14,20.90,32.40,70,Chandragiri Satungal
2025-09-08 18:32:17,20.00,26.90,68,Chandragiri Satungal
2025-09-08 19:02:21,18.60,22.70,65,Chandragiri Satungal
2025-09-08 19:32:26,19.30,23.50,66,Chandragiri Satungal
2025-09-08 20:02:30,17.30,23.20,62,Chandragiri Satungal
2025-09-08 20:32:34,16.20,20.00,60,Chandragiri Satungal
